,precision,recall,f1-score,support
0,0.9928934010152284,0.9979591836734694,0.9954198473282443,980.0
1,0.9982253771073647,0.9911894273127754,0.9946949602122016,1135.0
2,0.9951690821256038,0.998062015503876,0.9966134494436382,1032.0
3,0.9970238095238095,0.995049504950495,0.99603567888999,1010.0
4,0.9928934010152284,0.9959266802443992,0.9944077275038129,982.0
5,0.9943757030371203,0.9910313901345291,0.9927007299270073,892.0
6,0.9885773624091381,0.9937369519832986,0.9911504424778761,958.0
7,0.9941804073714839,0.9970817120622568,0.9956289460903351,1028.0
8,0.9938524590163934,0.9958932238193019,0.9948717948717949,974.0
9,0.997002997002997,0.9890981169474727,0.9930348258706467,1009.0
accuracy,0.9945,0.9945,0.9945,0.9945
macro avg,0.9944193999624368,0.9945028206631873,0.9944558402615546,10000.0
weighted avg,0.994509721431435,0.9945,0.994499473321417,10000.0
