model,run_time,test_accuracy,test_loss,trained_count,validation_count,test_count,min
cnn_architecture_1,201.48,99.28%,0.02521695,48000,12000,10000,3.357988131
cnn_architecture_2,1117.06,99.38%,0.022132762,48000,12000,10000,18.61763358
cnn_architecture_3,1359.77,99.27%,0.037946939,48000,12000,10000,22.66281839
cnn_architecture_4,641.19,98.80%,0.047200073,48000,12000,10000,10.68655988
cnn_architecture_5,264.47,98.84%,0.055795338,48000,12000,10000,4.407888341
cnn_architecture_6,204.86,98.80%,0.037602901,48000,12000,10000,3.414315597
cnn_architecture_7,1346.40,99.50%,0.016773919,48000,12000,10000,22.44006083
cnn_architecture_8,991.99,99.45%,0.021679141,48000,12000,10000,16.53313885
